Date,EGP=X
2023-08-22 10:19:04,30.911601
2023-08-23 10:16:03,30.900598
2023-08-24 10:08:03,30.900397
2023-08-25 10:00:03,30.901698
2023-08-26 10:02:03,30.91789
2023-08-27 10:02:04,30.91789
2023-08-28 09:57:04,30.899401
2023-08-29 10:07:03,30.907981
2023-08-30 10:01:03,30.805759
2023-08-31 10:12:03,30.901199
2023-09-01 09:42:03,30.890504
2023-09-02 10:13:03,31.038759
2023-09-03 10:08:03,30.842325
2023-09-04 10:08:03,30.94937
2023-09-05 10:03:03,30.9252
2023-09-06 10:07:03,30.897017
2023-09-07 09:50:04,30.908597
2023-09-08 09:28:04,30.899901
2023-09-09 09:22:03,30.835861
2023-09-10 09:37:03,30.862557
2023-09-11 09:43:03,30.896803
2023-09-12 09:40:03,30.926495
2023-09-13 09:31:03,30.901399
2023-09-14 09:40:03,30.934897
2023-09-15 09:08:03,30.952502
2023-09-16 09:29:03,30.899892
2023-09-17 09:31:02,30.899892
2023-09-18 09:26:03,30.924501
2023-09-19 09:31:04,30.898051
2023-09-20 09:29:03,30.926598
2023-09-21 09:23:03,30.900968
2023-09-22 09:07:03,30.898402
2023-09-23 09:20:03,30.836183
2023-09-24 09:21:03,30.789994
2023-09-25 09:22:03,30.949695
2023-09-26 09:14:02,30.899301
2023-09-27 09:11:02,30.902697
2023-09-28 08:57:03,30.897297
2023-09-29 08:44:03,30.899506
2023-09-30 08:52:03,30.966419
2023-10-01 08:52:03,30.966419
2023-10-02 08:52:03,30.948398
2023-10-03 08:47:03,30.901699
2023-10-04 08:53:03,30.923797
2023-10-05 08:42:04,30.7976
2023-10-06 08:43:03,30.795604
2023-10-07 08:37:03,30.662014
2023-10-08 08:32:03,30.662014
2023-10-09 09:14:03,30.901197
2023-10-10 09:08:02,30.951901
2023-10-11 08:50:03,30.946901
2023-10-12 08:49:03,30.944702
2023-10-13 09:56:03,30.899201
2023-10-14 09:09:03,30.913207
2023-10-15 08:45:04,30.880297
2023-10-16 08:45:04,30.899017
2023-10-17 08:28:03,30.904396
2023-10-18 08:37:03,30.951996
2023-10-19 10:05:03,30.896403
2023-10-20 08:38:03,30.900692
2023-10-21 08:44:04,30.843887
2023-10-22 08:29:02,30.864256
2023-10-23 08:50:03,30.898303
2023-10-24 08:31:03,30.897606
2023-10-25 08:27:03,30.889513
2023-10-26 09:49:03,30.929869
2023-10-27 08:40:03,30.897512
2023-10-28 10:29:03,30.855901
