24K - Global Price,22K - Global Price,21K - Global Price,18K - Global Price,14K - Global Price,12K - Global Price,9K - Global Price
1922.0,1762.0,1681.0,1441.0,1121.0,960.81,720.61
1916.0,1756.0,1676.0,1437.0,1117.0,957.81,718.36
1907.0,1748.0,1669.0,1431.0,1113.0,953.66,715.25
1908.0,1749.0,1670.0,1431.0,1113.0,954.16,715.62
1909.0,1750.0,1670.0,1432.0,1113.0,954.41,715.81
1920.0,1760.0,1680.0,1440.0,1120.0,960.13,720.1
1913.0,1753.0,1674.0,1434.0,1116.0,956.32,717.24
1893.0,1735.0,1656.0,1420.0,1104.0,946.5,709.88
1893.0,1735.0,1656.0,1419.0,1104.0,946.29,709.72
1908.0,1749.0,1670.0,1431.0,1113.0,954.09,715.57
1908.0,1749.0,1670.0,1431.0,1113.0,954.09,715.57
1901.0,1743.0,1664.0,1426.0,1109.0,950.69,713.02
1919.0,1759.0,1679.0,1439.0,1119.0,959.32,719.49
1918.0,1758.0,1678.0,1438.0,1119.0,958.86,719.15
1909.0,1750.0,1670.0,1432.0,1113.0,954.32,715.75
1904.0,1745.0,1666.0,1428.0,1111.0,951.91,713.93
1910.0,1751.0,1671.0,1432.0,1114.0,954.96,716.22
1910.0,1751.0,1671.0,1432.0,1114.0,954.93,716.2
1910.0,1751.0,1671.0,1433.0,1114.0,955.08,716.32
1925.0,1765.0,1685.0,1444.0,1123.0,962.69,722.02
1923.0,1763.0,1683.0,1443.0,1122.0,961.7,721.28
1944.0,1782.0,1701.0,1458.0,1134.0,972.07,729.06
1944.0,1782.0,1701.0,1458.0,1134.0,971.79,728.84
1943.0,1781.0,1700.0,1457.0,1133.0,971.26,728.45
1939.0,1778.0,1697.0,1455.0,1131.0,969.68,727.26
1947.0,1784.0,1703.0,1460.0,1136.0,973.34,730.01
1948.0,1786.0,1705.0,1461.0,1136.0,974.01,730.51
1964.0,1801.0,1719.0,1473.0,1146.0,982.19,736.64
1962.0,1798.0,1716.0,1471.0,1144.0,980.77,735.58
1945.0,1783.0,1702.0,1459.0,1134.0,972.34,729.26
1949.0,1787.0,1706.0,1462.0,1137.0,974.55,730.92
1949.0,1787.0,1706.0,1462.0,1137.0,974.55,730.92
1953.0,1790.0,1709.0,1465.0,1139.0,976.59,732.45
1952.0,1789.0,1708.0,1464.0,1138.0,975.83,731.88
1961.0,1798.0,1716.0,1471.0,1144.0,980.69,735.52
1962.0,1799.0,1717.0,1472.0,1145.0,981.15,735.86
1940.0,1778.0,1698.0,1455.0,1132.0,970.0,727.51
1944.0,1782.0,1701.0,1458.0,1134.0,971.91,728.94
1944.0,1782.0,1701.0,1458.0,1134.0,971.91,728.94
1946.0,1784.0,1703.0,1460.0,1135.0,973.04,729.78
1945.0,1783.0,1702.0,1459.0,1135.0,972.51,729.38
1939.0,1777.0,1697.0,1454.0,1131.0,969.48,727.11
1924.0,1764.0,1683.0,1443.0,1122.0,961.95,721.47
1924.0,1763.0,1683.0,1443.0,1122.0,961.84,721.39
1931.0,1770.0,1690.0,1448.0,1126.0,965.46,724.1
1931.0,1770.0,1690.0,1448.0,1126.0,965.46,724.1
1924.0,1763.0,1683.0,1443.0,1122.0,961.9,721.43
1923.0,1762.0,1682.0,1442.0,1122.0,961.35,721.02
1916.0,1757.0,1677.0,1437.0,1118.0,958.2,718.66
1907.0,1748.0,1669.0,1430.0,1112.0,953.53,715.15
1902.0,1743.0,1664.0,1426.0,1109.0,950.89,713.17
1901.0,1743.0,1664.0,1426.0,1109.0,950.7,713.03
1902.0,1743.0,1664.0,1426.0,1109.0,950.81,713.11
1902.0,1743.0,1664.0,1426.0,1109.0,950.95,713.21
1892.0,1735.0,1656.0,1419.0,1104.0,946.21,709.66
1894.0,1736.0,1657.0,1420.0,1105.0,946.94,710.21
1877.0,1721.0,1643.0,1408.0,1095.0,938.67,704.01
1880.0,1723.0,1645.0,1410.0,1096.0,939.78,704.84
1875.0,1718.0,1640.0,1406.0,1093.0,937.26,702.95
1875.0,1719.0,1641.0,1406.0,1094.0,937.62,703.22
1877.0,1721.0,1642.0,1408.0,1095.0,938.51,703.88
1891.0,1733.0,1654.0,1418.0,1103.0,945.39,709.04
1891.0,1733.0,1655.0,1418.0,1103.0,945.42,709.07
1903.0,1745.0,1665.0,1427.0,1110.0,951.58,713.69
1902.0,1744.0,1664.0,1427.0,1110.0,951.02,713.26
1900.0,1741.0,1662.0,1425.0,1108.0,949.8,712.35
1900.0,1741.0,1662.0,1425.0,1108.0,949.8,712.35
1902.0,1743.0,1664.0,1426.0,1109.0,950.94,713.21
1913.0,1753.0,1673.0,1434.0,1116.0,956.26,717.2
1928.0,1767.0,1687.0,1446.0,1125.0,963.88,722.91
1933.0,1772.0,1691.0,1450.0,1127.0,966.33,724.75
1930.0,1769.0,1689.0,1448.0,1126.0,965.04,723.78
1928.0,1767.0,1687.0,1446.0,1125.0,963.87,722.91
1928.0,1767.0,1687.0,1446.0,1125.0,963.87,722.91
1931.0,1770.0,1689.0,1448.0,1126.0,965.29,723.97
1922.0,1762.0,1682.0,1442.0,1121.0,961.12,720.85
1913.0,1754.0,1674.0,1435.0,1116.0,956.5,717.38
1907.0,1748.0,1668.0,1430.0,1112.0,953.38,715.04
1912.0,1753.0,1673.0,1434.0,1115.0,955.91,716.94
1904.0,1745.0,1666.0,1428.0,1110.0,951.83,713.87
1904.0,1745.0,1666.0,1428.0,1111.0,952.03,714.02
1912.0,1752.0,1673.0,1434.0,1115.0,955.83,716.87
1905.0,1746.0,1667.0,1429.0,1111.0,952.53,714.4
1901.0,1742.0,1663.0,1426.0,1109.0,950.44,712.83
1896.0,1738.0,1659.0,1422.0,1106.0,948.03,711.03
1909.0,1750.0,1670.0,1432.0,1113.0,954.36,715.77
1916.0,1756.0,1676.0,1437.0,1117.0,957.78,718.34
1907.0,1748.0,1668.0,1430.0,1112.0,953.3,714.97
1913.0,1754.0,1674.0,1435.0,1116.0,956.62,717.47
1923.0,1763.0,1683.0,1442.0,1122.0,961.57,721.18
1916.0,1757.0,1677.0,1437.0,1118.0,958.14,718.61
1911.0,1752.0,1672.0,1433.0,1115.0,955.47,716.6
1914.0,1755.0,1675.0,1436.0,1117.0,957.24,717.93
1913.0,1754.0,1674.0,1435.0,1116.0,956.51,717.38
1913.0,1754.0,1674.0,1435.0,1116.0,956.7,717.53
1909.0,1750.0,1671.0,1432.0,1114.0,954.67,716.01
1903.0,1744.0,1665.0,1427.0,1110.0,951.3,713.48
1884.0,1727.0,1648.0,1413.0,1099.0,941.78,706.34
1860.0,1705.0,1627.0,1395.0,1085.0,929.91,697.44
1855.0,1701.0,1624.0,1392.0,1082.0,927.73,695.8
1835.0,1682.0,1605.0,1376.0,1070.0,917.27,687.95
1835.0,1682.0,1605.0,1376.0,1070.0,917.27,687.95
1830.0,1678.0,1602.0,1373.0,1068.0,915.12,686.34
1810.0,1659.0,1583.0,1357.0,1056.0,904.77,678.58
1809.0,1659.0,1583.0,1357.0,1056.0,904.72,678.54
1806.0,1655.0,1580.0,1354.0,1053.0,902.88,677.16
1799.0,1649.0,1574.0,1349.0,1049.0,899.56,674.67
1814.0,1663.0,1587.0,1360.0,1058.0,906.9,680.18
1814.0,1663.0,1587.0,1360.0,1058.0,906.9,680.18
1839.0,1686.0,1609.0,1379.0,1073.0,919.57,689.68
1847.0,1693.0,1616.0,1385.0,1077.0,923.31,692.48
1851.0,1697.0,1620.0,1388.0,1080.0,925.56,694.17
1864.0,1709.0,1631.0,1398.0,1087.0,932.05,699.04
1873.0,1717.0,1639.0,1405.0,1093.0,936.46,702.35
1921.0,1761.0,1681.0,1440.0,1120.0,960.3,720.23
1918.0,1758.0,1678.0,1438.0,1119.0,958.95,719.21
1898.0,1740.0,1660.0,1423.0,1107.0,948.81,711.61
1902.0,1744.0,1665.0,1427.0,1110.0,951.14,713.36
1921.0,1761.0,1681.0,1440.0,1120.0,960.32,720.24
1935.0,1774.0,1693.0,1451.0,1129.0,967.36,725.52
1969.0,1805.0,1723.0,1477.0,1149.0,984.6,738.45
1965.0,1802.0,1720.0,1474.0,1147.0,982.72,737.04
1960.0,1797.0,1715.0,1470.0,1143.0,979.95,734.96
1966.0,1803.0,1721.0,1475.0,1147.0,983.23,737.43
1969.0,1805.0,1723.0,1476.0,1148.0,984.28,738.21
1960.0,1797.0,1715.0,1470.0,1144.0,980.24,735.19
1980.0,1815.0,1733.0,1485.0,1155.0,990.09,742.57
1974.0,1810.0,1728.0,1481.0,1152.0,987.23,740.43
1990.0,1824.0,1741.0,1492.0,1161.0,994.82,746.11
